ApplicableInspectionTypes,Make,Name
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Abarth,124 Spider
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Abarth,595 Competizione
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Abarth,695 Rivale
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Abarth,Other Abarth Model
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Acura,MDX
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Acura,TLX
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Acura,Other Acura Model
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Acura,NSX
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Giulia
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Giulietta
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Giulia Quadrifoglio
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Stelvio Quadrifoglio
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Other Alfa Romeo Models
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Alfa Romeo,Stelvio
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,DB11
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,DB11 Volante
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,V8 Vantage
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,DBS
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,Rapide
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,Vanquish Volante
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,Other Aston Martin Models
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Aston Martin,Vanquish
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A4
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A1
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A5 Cabriolet
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A3
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A5 Coupe
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A6
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A5 Sportback
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A8
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A7
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Q2
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,E-Tron
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Q5
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Q3
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Q8
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Q7
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,R8 Spyder
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,R8
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,RS 4
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,RS 3 Sedan
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,RS 3
